ts	word	freq
19:10	bel	53
19:10	korbel	75
22:00	vertonghen	56
22:00	kor	68
22:00	bel	352
22:00	korbel	375
22:00	9	90
22:00	courtois	62
22:00	0-1	92
22:00	belkor	61
22:20	bel	120
22:20	korbel	106
21:10	kustalg	53
21:10	zee	53
21:10	-	84
21:10	kim	85
21:10	weetje	53
21:10	0	71
21:10	1	57
21:10	2413	53
21:10	66	53
21:10	37653	53
21:10	korbel	631
21:10	wk2014	74
21:10	voetbal	66
21:10	alg	74
21:10	grootstekor	53
21:10	kor	118
21:10	km	53
21:10	courtois	86
21:10	rus	59
21:10	kmbel	53
21:10	belkor	77
21:10	bel	326
21:10	998	53
21:10	kmdezeekust	53
21:10	kmrus	53
21:10	4e	53
19:30	bel	103
19:30	korbel	106
21:00	worldcup	83
21:00	me	51
21:00	-	70
21:00	algrus	81
21:00	koreanen	70
21:00	kim	125
21:00	0	57
21:00	kaart	51
21:00	defour	83
21:00	group	80
21:00	helft	112
21:00	0-1	100
21:00	korbel	719
21:00	wk2014	70
21:00	alg	123
21:00	korvsbel	53
21:00	gaan	57
21:00	kor	171
21:00	duivels	61
21:00	rus	114
21:00	0-0	114
21:00	belkor	103
21:00	2de	59
21:00	joinin	74
21:00	rode	51
21:00	bel	386
21:00	h	90
21:00	half-time	76
20:20	-	126
20:20	d	51
20:20	0	101
20:20	driesje	51
20:20	kans	63
20:20	korbel	516
20:20	kor	114
20:20	belkor	88
20:20	bel	346
20:20	mertens	215
21:20	kim	137
21:20	korbel	576
21:20	kor	96
21:20	courtois	79
21:20	belkor	60
21:20	bel	250
20:00	-	230
20:00	0	151
20:00	1	60
20:00	come	51
20:00	on	57
20:00	wk2014	51
20:00	alg	147
20:00	korbel	521
20:00	kor	319
20:00	rus	117
20:00	belkor	112
20:00	go	94
20:00	rode	61
20:00	bel	572
20:00	belgium	114
20:10	-	123
20:10	koreanen	57
20:10	0	125
20:10	1	65
20:10	korbel	426
20:10	alg	81
20:10	kor	145
20:10	bel	326
20:10	belgium	60
19:20	bel	71
19:20	korbel	92
20:40	worldcup	145
20:40	rood	180
20:40	-	101
20:40	algrus	121
20:40	koreanen	128
