freq	variable
1	http://pbs.twimg.com/media/BqrQCzVCMAExQeT.jpg
1	http://pbs.twimg.com/media/BqrGYQsCUAASY59.jpg
3	http://pbs.twimg.com/media/BqrCrFzIMAAuy6y.jpg
4	http://pbs.twimg.com/media/Bqrkfm6CMAEyJrp.jpg
24	http://pbs.twimg.com/media/BqrXf6-IAAAqAF5.jpg
2	http://pbs.twimg.com/media/BqrgJKcCQAAf7Hj.png
1	http://pbs.twimg.com/media/BqrjhphIQAAwFSm.jpg
1	http://pbs.twimg.com/media/BqrXQzmIgAAToyO.png
2	http://pbs.twimg.com/media/BqrkaygCcAEELPe.jpg
1	http://pbs.twimg.com/media/BqrhQmbCAAEdVcP.jpg
1	http://pbs.twimg.com/media/BqruxinCcAAYJxI.jpg
1	http://pbs.twimg.com/media/BqrOuPJIgAE4B-v.jpg
1	http://pbs.twimg.com/media/BqrmKxCCYAAHZOd.jpg
4	http://pbs.twimg.com/media/Bqrg7QfIMAEK6U2.jpg
1	http://pbs.twimg.com/media/Bqrlc9HCAAE5_-E.jpg
1	http://pbs.twimg.com/media/BqrWclXCQAE87G3.jpg
2	http://pbs.twimg.com/media/BqrghmvIgAErI-0.jpg
1	http://pbs.twimg.com/media/BqrSOHiCYAAZ8ZB.jpg
1	http://pbs.twimg.com/media/Bqn4t5BIMAEY8Eq.jpg
12	http://pbs.twimg.com/media/BqrazSuCUAACiXP.jpg
1	http://pbs.twimg.com/media/Bqre_H2IUAA4gms.png
1	http://pbs.twimg.com/media/Bqrr4QtIUAEBaCo.png
1	http://pbs.twimg.com/media/Bqriap9CUAA-x__.jpg
1	http://pbs.twimg.com/media/Bqrppm0IYAEleoZ.jpg
3	http://pbs.twimg.com/media/BqrR-9CIcAA_Zpc.jpg
1	http://pbs.twimg.com/media/BqrTndWCAAES74O.jpg
1	http://pbs.twimg.com/media/BqrmsNyCUAAGpsV.jpg
1	http://pbs.twimg.com/media/Bqq73DgCcAAtEXi.jpg
1	http://pbs.twimg.com/media/BqrjnHFIMAAg-Mm.jpg
1	http://pbs.twimg.com/media/BqrpV-aCcAAWpgk.jpg
1	http://pbs.twimg.com/media/BqrclUICQAEXTF3.jpg
1	http://pbs.twimg.com/media/BqrbnxWIAAARSGi.jpg
1	http://pbs.twimg.com/media/BqrlE-ZCIAAeYal.jpg
2	http://pbs.twimg.com/media/Bqrq3O5CcAAmUXF.jpg
27	http://pbs.twimg.com/media/BqrGC3nCMAENeUJ.jpg
1	http://pbs.twimg.com/media/BqrnQ2ICIAIKjjw.jpg
1	http://pbs.twimg.com/media/BqrpuwCCMAAO_aM.jpg
1	http://pbs.twimg.com/media/BqrPejoIUAAiqYu.jpg
1	http://pbs.twimg.com/media/BqrkzRLCQAEzKI0.jpg
5	http://pbs.twimg.com/media/Bqrg4wCCIAASgFw.jpg
1	http://pbs.twimg.com/media/BqrcuMLIgAAqma4.jpg
1	http://pbs.twimg.com/media/Bqrg-bBCIAEZ9_c.jpg
1	http://pbs.twimg.com/media/BqrTmN-CAAAYURj.jpg
1	http://pbs.twimg.com/media/BqrpypMIIAIumHL.jpg
1	http://pbs.twimg.com/media/Bqrc4P2CAAII-JR.jpg
2	http://pbs.twimg.com/media/BqrZF1PCUAEYo7i.jpg
4	http://pbs.twimg.com/media/Bqrin72IAAA4zPi.jpg
1	http://pbs.twimg.com/media/BqQvpCiIQAABgk9.jpg
2	http://pbs.twimg.com/media/BqrUdkmIIAAB3vg.jpg
1	http://pbs.twimg.com/media/Bqrmhq7IUAAOijI.jpg
24	http://pbs.twimg.com/media/BqrjTHrCUAAcGPm.jpg
1	http://pbs.twimg.com/media/BqrUML3CYAIdGdB.jpg
116	http://pbs.twimg.com/media/BqrreXLIQAAiIhD.jpg
1	http://pbs.twimg.com/media/BqrP7PrIMAAy8Wr.jpg
1	http://pbs.twimg.com/media/BqrYQK-CUAAyeOX.jpg
1	http://pbs.twimg.com/media/BqrmMrECQAAxHMd.jpg
1	http://pbs.twimg.com/media/BqrXdxxCYAAd99q.jpg
2	http://pbs.twimg.com/media/BqrY_f4IQAEKoIq.jpg
2	http://pbs.twimg.com/media/BqrkvYFCEAIvzNm.jpg
1	http://pbs.twimg.com/media/BqrP3NuIQAAH1jz.jpg
1	http://pbs.twimg.com/media/Bqmxy3kCQAEYWFz.jpg
2	http://pbs.twimg.com/media/BqrtmxFCQAA6ESC.jpg
1	http://pbs.twimg.com/media/BqriZVUIgAALLiB.jpg
2	http://pbs.twimg.com/media/BqrkG23CAAAyx7R.jpg
1	http://pbs.twimg.com/media/BqrfHuoCMAA78dA.jpg
2	http://pbs.twimg.com/media/Bqrqk6ACMAAofMs.jpg
1	http://pbs.twimg.com/media/BqrtJ9FCEAAkie-.jpg
1	http://pbs.twimg.com/media/BqruyTDCQAA9FBq.jpg
5	http://pbs.twimg.com/media/BqrqmmvCIAAKsaM.jpg
9	http://pbs.twimg.com/media/BqrLBBjCIAAfpYu.jpg
1	http://pbs.twimg.com/media/BqrdcqsCIAAyiow.jpg
9	http://pbs.twimg.com/media/BqmglbeCQAAJzSi.jpg
1	http://pbs.twimg.com/media/BqrTi_aCAAAQAQw.jpg
1	http://pbs.twimg.com/media/BqrV2OZCIAACqdS.jpg
1	http://pbs.twimg.com/media/BqrcGpzIcAAPi34.jpg
1	http://pbs.twimg.com/media/Bcpb-RcCMAAjuRy.jpg
2	http://pbs.twimg.com/media/BqrIf4pCQAAsoGW.jpg
1	http://pbs.twimg.com/media/BqrRVczCEAAx5BJ.jpg
17	http://pbs.twimg.com/media/BqraoeOCEAEQcy9.jpg
1	http://pbs.twimg.com/media/BqrqGnOCUAAYMWE.jpg
2	http://pbs.twimg.com/media/BqroewbCcAAwatE.jpg
1	http://pbs.twimg.com/media/BqrpCVFIYAAn3Py.jpg
1	http://pbs.twimg.com/media/BqrqdwSCUAA48yC.jpg
1	http://pbs.twimg.com/media/BqrfKeRCcAALx8p.jpg
1	http://pbs.twimg.com/media/BqrsI9DIYAE_ymI.jpg
1	http://pbs.twimg.com/media/BqrWmUuCEAArvIR.jpg
1	http://pbs.twimg.com/media/BqrlhiTIcAADiem.jpg
2	http://pbs.twimg.com/media/BqrdODQCAAA7a6v.jpg
1	http://pbs.twimg.com/media/BqrD5LGCIAAHYY6.jpg
11	http://pbs.twimg.com/media/BqroTnACEAEP985.jpg
1	http://pbs.twimg.com/media/BqrQesCCYAA57T4.jpg
11	http://pbs.twimg.com/media/BqrQS_ZIAAAET3O.jpg
2	http://pbs.twimg.com/media/BqrRBPbIYAA2JiX.jpg
1	http://pbs.twimg.com/media/BqrYjTuCUAAYnON.jpg
1	http://pbs.twimg.com/media/Bqrj9CACIAAMNVT.jpg
1	http://pbs.twimg.com/media/BqrlSQqIUAA622r.jpg
1	http://pbs.twimg.com/media/Bqra82RIQAAsigU.jpg
1	http://pbs.twimg.com/media/BqrjVWACMAAJxaS.jpg
1	http://pbs.twimg.com/media/BqrpBlhCAAA7Mi9.jpg
30	http://pbs.twimg.com/media/BqrZVeXCMAAh2RE.jpg
2	http://pbs.twimg.com/media/BqrL23pCUAApoik.jpg
1	http://pbs.twimg.com/media/BqruAQnIEAAkcGT.jpg
1	http://pbs.twimg.com/media/BqriGoACcAEkxqc.jpg
42	http://pbs.twimg.com/media/BqrhV9EIYAArFeH.jpg
4	http://pbs.twimg.com/media/BqrD7D0IgAA4AvA.jpg
6	http://pbs.twimg.com/media/BqrpmlKCMAEkRqm.jpg
1	http://pbs.twimg.com/media/BqrtzSgCEAASrLH.jpg
4	http://pbs.twimg.com/media/BqrmQafCAAAlb4W.png
2	http://pbs.twimg.com/media/BqrlawTIIAAxpow.jpg
1	http://pbs.twimg.com/media/BqrqabFIgAAyOju.png
1	http://pbs.twimg.com/media/BqrqmQCIYAAOoOc.jpg
7	http://pbs.twimg.com/media/BqrqxeyIAAAyaqU.jpg
3	http://pbs.twimg.com/media/Bqrg7pXCIAEbRGW.jpg
1	http://pbs.twimg.com/media/BqrrbZeCYAA9QDE.jpg
3	http://pbs.twimg.com/media/BqrY1q-CAAAbjVE.jpg
1	http://pbs.twimg.com/media/BqrYCYnIYAAKrIK.jpg
1	http://pbs.twimg.com/media/BqrjBtXCYAEQdo3.jpg
3	http://pbs.twimg.com/media/Bqrqxb6CcAEdIyx.jpg
1	http://pbs.twimg.com/media/BqrVhf5IcAEOCDT.png
1	http://pbs.twimg.com/media/BqrisS-IYAA1THT.jpg
1	http://pbs.twimg.com/media/BqrqXb0CMAAUEW4.jpg
1	http://pbs.twimg.com/media/BqrdA7XCIAEf668.jpg
1	http://pbs.twimg.com/media/Bqro-J2CAAAPTPA.jpg
10	http://pbs.twimg.com/media/Bqrq343IQAAKetQ.jpg
1	http://pbs.twimg.com/media/BqruB8SIUAAlekJ.jpg
1	http://pbs.twimg.com/media/Bqrov4RIUAAzBbT.jpg
1	http://pbs.twimg.com/media/BqrdIwYCUAAbfY0.jpg
100	http://pbs.twimg.com/media/BqrEhZ2CAAAMyca.jpg
3	http://pbs.twimg.com/media/BqrnHHjIUAAV2_c.jpg
1	http://pbs.twimg.com/media/BqrPeVfCYAITagC.jpg
1	http://pbs.twimg.com/media/BqrOLEPIYAABvFQ.jpg
1	http://pbs.twimg.com/media/BqrkClmIEAARQmy.jpg
10	http://pbs.twimg.com/media/BqroQ7LIcAEPyGF.jpg
1	http://pbs.twimg.com/media/Bp-I8J4CUAAvu8q.jpg
1	http://pbs.twimg.com/media/BqrhI9wCQAAhDPE.jpg
1	http://pbs.twimg.com/media/Bqrp4TACUAAc9tR.jpg
2	http://pbs.twimg.com/media/BqrmTPPIAAAIy0-.jpg
1	http://pbs.twimg.com/media/BqrmLL3CUAAz4Hh.png
1	http://pbs.twimg.com/media/BqrcD4yCAAAuUgs.jpg
1	http://pbs.twimg.com/media/BqrXDgWIUAEsVx0.jpg
18	http://pbs.twimg.com/media/BqrYctaCQAAcxbi.jpg
1	http://pbs.twimg.com/media/BqnWVFiIIAA1c2c.jpg
1	http://pbs.twimg.com/media/BqruJLpCUAAOH-g.jpg
1	http://pbs.twimg.com/media/Bqrq8uoIUAAMZ1g.jpg
1	http://pbs.twimg.com/media/BqrPkMKCAAEBi-u.jpg
1	http://pbs.twimg.com/media/BqrUPMsIgAAW1xT.jpg
1	http://pbs.twimg.com/media/BqreLfvCQAETyBp.jpg
1	http://pbs.twimg.com/media/Bqrj_q2CIAAvHtO.jpg
1	http://pbs.twimg.com/media/BqrqvWMCMAAhKMz.jpg
1	http://pbs.twimg.com/media/BqrTl5eIcAA5Kq_.jpg
5	http://pbs.twimg.com/media/Bqrq2LVCcAEf4FI.jpg
2	http://pbs.twimg.com/media/BqrgmoTIAAAou1f.jpg
1	http://pbs.twimg.com/media/BqrphraCcAAAu61.jpg
1	http://pbs.twimg.com/media/BqrRB7SIUAAutYi.jpg
1	http://pbs.twimg.com/media/BqrYblXCQAA5l7H.jpg
1	http://pbs.twimg.com/media/BqrrIenIgAAPFCX.jpg
2	http://pbs.twimg.com/media/Bqrq2dKCEAAfiMh.jpg
1	http://pbs.twimg.com/media/BqrnupSIYAA0au8.jpg
3	http://pbs.twimg.com/media/Bqri8iQIAAA6548.jpg
1	http://pbs.twimg.com/media/BqrjO_YCUAA1hcC.jpg
1	http://pbs.twimg.com/media/Bqrb-QBCMAAQSX3.jpg
1	http://pbs.twimg.com/media/BqrhoCzCYAEgNuN.jpg
2	http://pbs.twimg.com/media/BqrQ5SACEAIlbgr.jpg
1	http://pbs.twimg.com/media/BqrqUadCcAAVS4Y.jpg
1	http://pbs.twimg.com/media/BqrOUe4CQAAF2AX.png
1	http://pbs.twimg.com/media/Bqrmj8dCMAAwPHm.jpg
1	http://pbs.twimg.com/media/BqrJPLQCEAAi2Lj.jpg
1	http://pbs.twimg.com/media/BqroAj8IgAAlwe_.jpg
2	http://pbs.twimg.com/media/BqrinpdCEAEXr23.jpg
98	http://pbs.twimg.com/media/BqrZQkWIgAAR-Cw.jpg
25	http://pbs.twimg.com/media/BqrmVi9IUAA7j6J.jpg
29	http://pbs.twimg.com/media/BqmXDALCIAEL62B.jpg
1	http://pbs.twimg.com/media/BqrbW_AIAAA0Zk-.jpg
1	http://pbs.twimg.com/media/BqrPVSSIIAAhuep.jpg
2	http://pbs.twimg.com/media/BRrXkKeCAAElQwG.jpg
1	http://pbs.twimg.com/media/BqrmtKHCYAE56Mz.jpg
1	http://pbs.twimg.com/media/BqrlW5iCAAADEfE.jpg
2	http://pbs.twimg.com/media/Bqro9CZCEAE-WWr.jpg
1	http://pbs.twimg.com/media/BqrQ7GqCYAA-mZG.jpg
3	http://pbs.twimg.com/media/BqrVQAfCMAE3I7b.png
30	http://pbs.twimg.com/media/BqrjDLaCMAEEUBt.jpg
68	http://pbs.twimg.com/media/BqrhjqYCQAA8W1y.jpg
2	http://pbs.twimg.com/media/BqrbtIMCcAAlMR2.png
2	http://pbs.twimg.com/media/Bqrtnz3IYAA3WOc.jpg
1	http://pbs.twimg.com/media/BqrOlDDCUAAfBW2.jpg
2	http://pbs.twimg.com/media/BqrgHIjCIAAkJRu.jpg
1	http://pbs.twimg.com/media/Bqrq28xIEAAniZG.jpg
1	http://pbs.twimg.com/media/BqrnpVCCMAAS3kR.jpg
1	http://pbs.twimg.com/media/BqrbYsNIYAA-YpY.jpg
15	http://pbs.twimg.com/media/BqrjkGdIQAEhAnb.jpg
1	http://pbs.twimg.com/media/Bqrqz28CQAEXAJy.jpg
3	http://pbs.twimg.com/media/Bqrf215CQAAnMbH.jpg
1	http://pbs.twimg.com/media/BqrOb_BIEAEsb-3.jpg
1	http://pbs.twimg.com/media/Bqrr0IzIAAAgGH0.jpg
1	http://pbs.twimg.com/media/BqrkvDqIYAAEsjC.jpg
5	http://pbs.twimg.com/media/BqmZPRbIYAE6LE8.jpg
1	http://pbs.twimg.com/media/Bqrlou8CUAAli8G.jpg
1	http://pbs.twimg.com/media/BqrrmWPIcAAC8BA.jpg
6	http://pbs.twimg.com/media/BqrVI6CCQAIpllK.jpg
2	http://pbs.twimg.com/media/BqrsCrtIcAATCBd.jpg
4	http://pbs.twimg.com/media/BqrqLj7CYAALyBV.jpg
1	http://pbs.twimg.com/media/BqrmemZIUAIa93g.jpg
1	http://pbs.twimg.com/media/BqrOzvkCEAA8wFI.jpg
1	http://pbs.twimg.com/media/BqrU_GwCcAAonRN.jpg
1	http://pbs.twimg.com/media/BqrQzQgCIAA5sZx.jpg
1	http://pbs.twimg.com/media/BqrrJu3CMAAGw6p.jpg
1	http://pbs.twimg.com/media/BqrjTbXCQAA2BEZ.jpg
1	http://pbs.twimg.com/media/BqrqtQGIIAANDIN.jpg
1	http://pbs.twimg.com/media/BqrtoObIMAAVmkM.jpg
6	http://pbs.twimg.com/media/Bqri_UECYAAxdRt.jpg
2	http://pbs.twimg.com/media/Bqri1n8IMAIuJ37.jpg
2	http://pbs.twimg.com/media/BqrXBlkIUAAAwSy.jpg
13	http://pbs.twimg.com/media/Bqram33IYAAcy6N.jpg
1	http://pbs.twimg.com/media/BqrcszBIAAE36io.jpg
1	http://pbs.twimg.com/media/BqrrhtQCUAEkaxo.jpg
1	http://pbs.twimg.com/media/BqrV7qdCEAE27GL.jpg
1	http://pbs.twimg.com/media/BqroVQRIcAAVCg5.jpg
2	http://pbs.twimg.com/media/BqrP_SnCcAEc2uN.jpg
1	http://pbs.twimg.com/media/BqrtzvACQAA3Wyo.jpg
1	http://pbs.twimg.com/media/BqrqCyCCAAAXOp-.png
1	http://pbs.twimg.com/media/BqrkBybCYAAWwHz.png
5	http://pbs.twimg.com/media/BqrQN2YCMAAD31h.jpg
1	http://pbs.twimg.com/media/BqrQkIOIQAADvTE.jpg
3	http://pbs.twimg.com/media/BqrP7LtCYAAQbK1.png
11	http://pbs.twimg.com/media/Bqrpx9aCEAAV2gQ.jpg
26	http://pbs.twimg.com/media/BqrcyKoCIAA8cLF.jpg
85	http://pbs.twimg.com/media/Bqrnnr5CAAA8XYZ.jpg
1	http://pbs.twimg.com/media/BqrPfcSCUAAVwLX.jpg
9	http://pbs.twimg.com/media/BqrZKqdCAAAuE80.jpg
1	http://pbs.twimg.com/media/BqragLFCQAAy1vo.jpg
1	http://pbs.twimg.com/media/Bqrjgs1IUAA9TII.jpg
8	http://pbs.twimg.com/media/BqrOd9xIgAA1U01.jpg
1	http://pbs.twimg.com/media/BqrVigcIQAAZUQz.jpg
51	http://pbs.twimg.com/media/BqrsVwQIAAEAtvJ.jpg
1	http://pbs.twimg.com/media/BqrY3o_CIAAMPPl.jpg
1	http://pbs.twimg.com/media/BqrLlETIEAAeE_w.jpg
3	http://pbs.twimg.com/media/Bqrd6SFIAAAUdA4.jpg
3	http://pbs.twimg.com/media/Bqrn-S_CQAAKgIt.jpg
1	http://pbs.twimg.com/media/Bqrsyt8CIAA_jZX.jpg
6	http://pbs.twimg.com/media/BqrJ4PjCYAIqB3f.jpg
2	http://pbs.twimg.com/media/BqrtJD0IgAA2TC2.jpg
1	http://pbs.twimg.com/media/BqrYjlaIAAE2gul.jpg
9	http://pbs.twimg.com/media/BqrtSAQIgAAhFJ9.jpg
1	http://pbs.twimg.com/media/BqrBNhxCcAAdxoB.jpg
1	http://pbs.twimg.com/media/BqrbJl5CEAAimd9.jpg
2	http://pbs.twimg.com/media/Bqrnr4qCcAA0CvE.jpg
1	http://pbs.twimg.com/media/BqrQz7VIUAAqFht.jpg
2	http://pbs.twimg.com/media/BqrhSS6CIAAh03e.jpg
3	http://pbs.twimg.com/media/BqrqKl3CIAAj8DP.png
3	http://pbs.twimg.com/media/BqrqssCIIAA40ob.png
4	http://pbs.twimg.com/media/BqraltdCIAA98xN.jpg
1	http://pbs.twimg.com/media/BqrQwoaIgAITGLT.jpg
1	http://pbs.twimg.com/media/Bqrs9O1CEAA68XW.jpg
6	http://pbs.twimg.com/media/BqQ2E4sCAAAMsEU.jpg
3	http://pbs.twimg.com/media/BqrMaJiIAAA_sGJ.jpg
14	http://pbs.twimg.com/media/BqrmhuBIgAAPSPU.jpg
1	http://pbs.twimg.com/media/Bqrn1c3CEAAEBZJ.jpg
1	http://pbs.twimg.com/media/BqriSNCIcAE2Da7.jpg
5	http://pbs.twimg.com/media/BqramLRCIAIHfp1.png
2	http://pbs.twimg.com/media/BqrgMYyCEAALInr.jpg
2	http://pbs.twimg.com/media/BqrXn6AIMAAf28g.jpg
1	http://pbs.twimg.com/media/BqrtBiyCcAAckqN.jpg
2	http://pbs.twimg.com/media/BqrqKU8CYAA1T5Z.jpg
1	http://pbs.twimg.com/media/BqrmPN9IIAA6rq1.jpg
1	http://pbs.twimg.com/media/BqrlgteCYAAfXlO.jpg
1	http://pbs.twimg.com/media/BqrtCkqCUAErFCo.jpg
2	http://pbs.twimg.com/media/BqrVQI_IQAErIRI.jpg
3	http://pbs.twimg.com/media/BqrualcIgAA80Y7.jpg
1	http://pbs.twimg.com/media/BqrvijwCYAAWMut.jpg
1	http://pbs.twimg.com/media/BqrWuPYIgAEq4Kw.jpg
1	http://pbs.twimg.com/media/BqrjcbQCUAANkZd.jpg
1	http://pbs.twimg.com/media/BqrO9iFCcAADqxY.jpg
11	http://pbs.twimg.com/media/BqrNRyRIIAAJp3r.jpg
1	http://pbs.twimg.com/media/BqrdZQwCAAA3P7v.jpg
1	http://pbs.twimg.com/media/BqrQqKfCQAAhSMD.jpg
1	http://pbs.twimg.com/media/BqrrDrKIQAAVFdh.jpg
2	http://pbs.twimg.com/media/Bqrsh9NCYAAu9bw.jpg
2	http://pbs.twimg.com/media/BqrnxUdCUAA9JnS.jpg
1	http://pbs.twimg.com/media/BqreBrwCQAAtNhy.jpg
1	http://pbs.twimg.com/media/BqrnJjjIUAAcAf9.jpg
1	http://pbs.twimg.com/media/Bqri7TXIAAAoXFk.jpg
1	http://pbs.twimg.com/media/BqrfSTAIcAMiHqU.jpg
1	http://pbs.twimg.com/media/Bqrm-TgCAAArZ2g.jpg
1	http://pbs.twimg.com/media/BqrkvE6CUAANwDA.jpg
1	http://pbs.twimg.com/media/BqrPE64CAAAeR3T.jpg
2	http://pbs.twimg.com/media/BqrrHNiIAAABItX.jpg
3	http://pbs.twimg.com/media/BqrvUcyIMAAhyl8.jpg
2	http://pbs.twimg.com/media/BqrTuMJIUAAuNnc.png
1	http://pbs.twimg.com/media/BqrvW0_CIAAGR96.png
17	http://pbs.twimg.com/media/Bqrrnd6CEAAvam3.jpg
4	http://pbs.twimg.com/media/BqqN1v5CYAALMC7.jpg
4	http://pbs.twimg.com/media/BqrTknmCAAAloNj.jpg
2	http://pbs.twimg.com/media/BqrZZ4bCAAAgA9d.jpg
1	http://pbs.twimg.com/media/BqreGHIIQAA4TSA.jpg
1	http://pbs.twimg.com/media/BqrYHiVCEAA3SJW.jpg
1	http://pbs.twimg.com/media/BqrQXMwCQAAJcvr.jpg
1	http://pbs.twimg.com/media/BqrrGAbCEAA6L24.jpg
1	http://pbs.twimg.com/media/BqrSFQoIIAAyLNU.jpg
1	http://pbs.twimg.com/media/BqrjW63CIAEmC3n.jpg
1	http://pbs.twimg.com/media/BqrhfJQCYAExKxF.jpg
26	http://pbs.twimg.com/media/BqrLQ1yCcAAM-mI.jpg
1	http://pbs.twimg.com/media/BqrcquiCYAEStqi.jpg
17	http://pbs.twimg.com/media/BqrlJDJIYAA1oA_.jpg
3	http://pbs.twimg.com/media/BqpKtDyIUAAoRQu.png
1	http://pbs.twimg.com/media/BqrenDUIMAAvoVw.jpg
1	http://pbs.twimg.com/media/BqrSF02IQAAVQ_O.jpg
2	http://pbs.twimg.com/media/BqrfkydIEAEvGDu.jpg
1	http://pbs.twimg.com/media/BqrViDECUAEMrsu.jpg
16	http://pbs.twimg.com/media/BqrhtF1IIAAxRvx.jpg
1	http://pbs.twimg.com/media/BqrdgQWCMAEaQml.jpg
1	http://pbs.twimg.com/media/BqrTDnrIgAANiWe.jpg
1	http://pbs.twimg.com/media/BqrPlbYCUAI6Rfi.jpg
26	http://pbs.twimg.com/media/BqrShQVCQAAQii2.png
4	http://pbs.twimg.com/media/Bqqhdg9CMAMHurH.jpg
1	http://pbs.twimg.com/media/Bqp1H6eIEAAd4Hj.jpg
1	http://pbs.twimg.com/media/BqrpPnTIYAAq4-B.jpg
1	http://pbs.twimg.com/media/BqrSQcAIgAA-7yi.png
1	http://pbs.twimg.com/media/BqrbfqaIcAA_wLD.jpg
1	http://pbs.twimg.com/media/BqrhrAcIgAAMOCo.jpg
1	http://pbs.twimg.com/media/BqrGv53IEAANHBY.jpg
1	http://pbs.twimg.com/media/BqrppQRIQAAjZ0O.jpg
1	http://pbs.twimg.com/media/BqrTFV-CQAA8r5q.jpg
1	http://pbs.twimg.com/media/BqrDKQWIMAAqAmb.jpg
9	http://pbs.twimg.com/media/Bqrm7M_CcAA77MG.jpg
2	http://pbs.twimg.com/media/BqrhWaACEAEGNvp.jpg
