freq	variable
2186	17:53
5215	17:52
1361	17:50
1082	17:49
1285	17:48
1098	17:46
1427	17:43
1529	17:42
1514	17:41
1454	17:40
1886	16:33
2587	17:29
2288	17:33
1719	17:35
2458	17:30
1665	17:22
3497	17:28
1993	17:32
1327	17:45
7172	17:26
1534	17:21
1075	17:08
1820	17:20
7232	17:15
1486	17:23
1212	17:47
2618	17:18
5161	17:25
1642	17:05
7636	17:12
4304	17:17
7817	16:21
3717	17:14
4976	17:13
2424	17:10
1399	17:24
2036	17:34
5570	17:27
1421	17:04
1272	16:56
1329	16:42
3006	16:25
4762	17:51
1681	17:36
2211	16:49
1436	16:40
1455	17:03
1294	16:59
1301	17:37
1077	17:06
2574	16:31
1218	17:01
1318	16:57
1170	17:00
1568	16:36
1592	16:44
1536	16:30
1381	16:58
1367	17:02
1889	17:31
1261	17:44
2025	16:27
5978	16:23
1360	16:55
1442	16:53
1601	16:52
1043	17:09
4067	16:24
1676	16:47
1003	17:07
1618	16:38
1688	16:51
1720	16:46
1870	16:28
2698	16:48
1259	16:43
1403	16:41
1909	16:50
1488	16:39
1406	17:39
1568	17:38
9877	16:22
1636	16:45
5524	16:20
7027	17:16
1571	16:29
1708	16:34
2208	16:32
2211	17:19
5449	17:11
31	None
1437	16:37
837	16:19
1614	16:35
1417	16:54
2601	16:26
