freq	variable
1	DBDeiman
1	alexdlsglasnost
2	sousou221
1	jjungu1015_CN
1	PaauBeltran
1	alienbuffy
1	ThePharaoh19XX
3	Silkoooo
1	angelica_silva
1	MKBTZ
1	AndrieOliveira
1	TheBennMason
1	chorizoyaww
1	RubenSosaa
2	CurtisOnlinee
1	BilaalMTM
1	AnnaHernandezV
1	dera_derek
2	hernan101
1	Cule_VG
1	AleNum1998
1	yoannasn
1	Mypreciousnp
1	_Maria_Arias
1	Dj_Al3jandro
1	punto_sport
1	primadonnamk
1	freddiewelther
1	_15Alexandra
1	SPANIARDBOI
3	israelquiroz93
1	joem1999
1	681d1d2cd47f427
1	JoePadavona
1	Mohamme58985549
1	joshhashtaglees
2	LoscracksMx
1	nomatterbill
1	sm_sammons
1	CoestierTheo
2	BrandyU2
1	hunempress
1	AguiLyon
1	super_foss
1	rafaelrc1994
3	Oxlaje_94
1	kblarst
1	spicy_salsa7
10	BetfairSports
4	dtaco_15
1	brandon5337
1	RubenPremo
4	TarugoLeft
2	ha_Larva
1	Cris_L_Lopez
5	KimvanAalst
3	Tom_Greggan
4	HerreJHerdaele
4	Jane25150603
1	IndiraEntrena18
2	Idham_1102
1	BrendaPuntes1
1	plee45
4	GSCColombia
6	aIIenguzman
1	phutpipat
1	baba_Spirit11
1	larafigueroa8
1	Matthew2612
1	LauraONeill10
3	sernedipity
1	Enriksen
1	Sephton_098
1	IvsnNg
1	Sam_Harris_1992
1	HazimDeGea
1	HVTelevision
1	Paulozeer
2	jesus_hinojosa1
1	420DrnkIt
1	elrifrawad
1	francocapirossi
1	GuilleOriol
5	Crispinjavnel
1	ciihv
3	MilizoVarane2
1	Anthooun_
1	Sizatizer
1	free_retweetbot
1	Rh_MoneyJunkies
1	KierranMears
1	callumdey
2	zbuckert77
1	19_90_2
1	annapasq
1	amoreno93
1	QueenJay_xXx
1	Francisco_Cabe
2	FaithS2Strong
1	Layyon_
1	NatalieJohnnson
2	MarcosBueno1
2	Tyler_Maag
71	ughlovers
1	TalipAltuner
1	erik6997
1	MrColocho
1	mujtaba_21
1	TrillAssTristan
2	D_R_Elwell
1	UnitedKingdom77
1	SweetChillii_
1	GiuliScami
1	_ohsoYEMI
1	Le_boyypato
1	encantodelola
1	MiguelContrer10
1	MBelMartinez
1	AymanAjouz
1	ayuPanda89
1	lucaaasdiaz
1	thomaswilliam97
1	enaifos77
1	AndresLara02
2	JasonAGrier
1	AVATJE
1	Fendyesn
5	dchapela
1	unculeromas_
1	TexUmer
1	nickydollss
1	HimmetBoyar
1	marcos2842000
1	NOMsterT
1	SoyKaa_ta
1	Juanpams24
1	Aninha_Galo
1	FedeSantanaRDL
1	mdkrostov
1	NEVERPATO
1	TarekKhaled
1	fgvidela
1	gabid10s_
1	TheProfitsComAu
1	3bdalla_Mousa
1	LLovergne
2	HowfenClaret
1	AdamRileyy
1	SusanaTerrado
1	ReptaR_BaR
1	Danny__Link
1	diosaaunikbonit
1	abelo_
3	Biosradio
3	BirgittaCfc
2	WhyAlwaysMeee_
2	ktwsoccer9
1	Josesito_Ch
1	ThairoAllan
1	BekirDoganTosun
1	drgautammehta
1	honduranman
1	DrewBoof13
1	32dll
8	eNTeKa259
1	Minhaj_Ali23
1	_ronnierice
1	LookMio
6	go_yvan
1	10Isaurralde
2	ostrompv7
1	R_Meradji
3	SymonsLisa
2	paolalemusc
12	akashtaker001
1	savielalvarado_
2	Jasmusatl007
1	rlymaya
1	MOnyemenam
1	IsaacKanan
1	zacless
1	EsmeA_
1	NationalVend
1	IGRA_10
1	Nava_didnt
2	Pachusmo
1	ka0_t0m10
2	david3manz
1	spikemadox
1	lukazorica
1	JeroDutari
1	RickyMendoza123
1	nol_bro20
1	Gav_S_Harper
1	hornyChef_pk
2	CbPapadeluna
3	Squinto69
1	WiamOD
8	Foetbal247
1	jojo_g2
1	alexanderjoyce1
1	WeeWill00
1	NasirHussen2
1	_ItsNanatic
2	cansnow_
2	asalkhaldi
1	LawrHillML
3	oregongal47
1	xBranFlakes
3	WheelerTSN
12	ludohanivel
1	Irrigo_16
2	xingbun
1	gedeHKM
1	Ortiz_Lineth
1	Derek_Arnold
1	Alex_oMagico
2	DanyNathan88
1	fxyoungie
2	FCBayernEN
1	JPonsR
1	_chazman
1	WahraniiAnis
1	t0rtitas
1	Gero98_
1	ChildishCris
1	zakkab6
1	yeppudaa
1	samuelgtz0
2	jkuiper5
2	by24org
1	MullinSwirve
1	alineviana_cc
1	BB_155CM
1	Nestor_Leon
2	JordanSpamer14
18	ayeeitschris_10
1	Tj_mel
1	MichellMirjam_
1	Dwiki_Gifary
1	FreakinLadieXO
3	3DanielAguilar
8	SuperSportBlitz
1	kimberley1411
1	CeciliaMartruj
1	J_Craig99
2	neidertruyoth
2	interfutbol360
1	veronicagaitan
1	nhuetparis
1	andrerodpt
1	Marceloibu
1	ThisisThya
1	A7med_Rosicky
1	AH_RIN94
1	VercaemstJens
1	elpepe754
1	zelavc
3	Rayane_Hassuan
1	alain_gro
1	NickMiller8804
1	Ariian_Escobar
3	ncfernando_
1	HasToBeHynes
1	ggg88ddd
1	llarissamarall
2	copkakola
1	herbiekane
1	Davybrocatus
1	BBHXOS
1	KunFeik
1	CharlyChateau97
1	franncesca_
1	Justinelecuyer
1	jhony_jrm
1	Marlondh92
1	bmags1118
1	WaysKid
3	Edward_Braisby
1	BurakDemirhaan
1	_Afrixzn1
1	roel_vandepol
2	iis_nooer
4	DominicGaty
1	BrunaChiesa
1	JOSECAVALIERI
2	spiderbert01
1	Bryan_Sneaks
1	_TomStokes
1	larryschains
1	AyaBKordy
1	elcatalan19
1	Taeky_
1	Gush21
1	OnlySay_ATM
1	_EnriqueDuran
1	18Matty92
1	PoxaaVini
1	Mc_mykel
1	RosalbaKrohn
1	UnRamosMas
1	xbiebs1dxx
1	kareasan
1	yanmahmud
4	bvb09girl
1	04Edgardo
2	BoDierycx
1	MikkaTaveras
1	b30d14859a764d5
1	MargauxGruwez
1	basnijhuisref
3	ChrisTran19
1	betogallagher
1	wahseoj
2	MrsDuckk
1	CrossFitxNinja
1	ahlisfa
1	AlanRochaSL
2	itsearny
3	KurtRaney_3
1	Jose_NietoA
5	narikatsusc
3	Seviier9
1	Zackgetsstacks
1	shamu86
1	NotAnError
1	HamRoadSoccer
1	Smile_jan95
1	Dozuca
1	7depress
2	minty83
1	AlexCuba15
1	trivelasamet
1	husain_salih
1	RubenMejermo
2	rosenderevies
1	Abhiram_V_V_S
1	iDeller_
1	ton__kamel
1	lavaronita
1	NKSA_Adam
1	AndresNelso
1	WildSinceDayOne
1	idrrrc
1	MHaidar_10
1	esther_ch5
4	elaynedelayne
1	echosays
1	hesmington
1	berkay1907__fb
1	Doudoufane
1	SILFIDE2014
5	KMpolesha
1	Rose7Hathaway
1	kaygosh
1	Tavo_Garcia9
6	zachmatovski9
1	samboy11s
1	Leni_Tim
1	moabuelgasim
1	AdelKhElhadary
1	merrigfl
1	__AnnaOliveiraa
1	Bruneelke
2	Giovani2533
1	JorgeMBerdugo
1	carbo_la
1	CMorrisonJ
1	Gayusblizz
2	AlexGueshKabyle
1	rrobb_
2	junebug_lee
1	MaciekLegia11
1	joeymarti
3	tomthetank46
3	ZubyxR
1	serg_juscool
1	JuanFajardo84
2	torredemarfim
1	ALEJANDROGATOR
1	expiergirl
1	MWGiess
1	hirtus
1	jonas7mm
1	kamranali91
1	JTerroni92
5	JusShazzz
1	LucasPacheco22
1	RollJimenez
1	MaxmillianJr44
1	johannaolesen
1	illwaitljam
20	GOmasumi1
1	rockoftinita
14	HamanneyQ8
1	HTC_Gunnin
1	TesDeLuxe
3	PabloRM_CR
1	HugoElPensador
1	MinajxStyles
4	PulzoCol
3	adamnowacki5
1	newage_author
1	raphaeljourez
1	Buddy_Crystal
6	LoscarWill
1	JAMEANdakilla
1	fraanmartins29
1	ayo_deszy
1	IamLilMike_
1	joshfarley
